variant,fold,DR,FPR,Acc,TP,FN,FP,TN,n_detectors,train_time_s,infer_time_per_sample_s
V0_classical,0,0.8769941225860621,0.009992213859330391,0.9356315647724213,6267,879,77,7629,1500,5.007661581039429,0.0002835129522872748
V1_stat_term,0,0.8769941225860621,0.009992213859330391,0.9356315647724213,6267,879,77,7629,1500,5.705930709838867,0.00023678987776851063
V2_boundary,0,0.9283515253288553,0.002076304178562159,0.9644492324266092,6634,512,16,7690,151,67.142245054245,1.91474102142523e-05
V3_full_binary,0,0.9283515253288553,0.002076304178562159,0.9644492324266092,6634,512,16,7690,151,79.45494079589844,1.953714400521835e-05
V0_classical,1,0.9086202071088721,0.009992213859330391,0.9508483705898195,6493,653,77,7629,1500,5.037676095962524,0.0002727695401389741
V1_stat_term,1,0.9086202071088721,0.009992213859330391,0.9508483705898195,6493,653,77,7629,1500,5.738034725189209,0.00033075627117121024
V2_boundary,1,0.9182759585782255,0.0019465351674020244,0.9596687314839752,6562,584,15,7691,126,46.074368715286255,1.7047955795275758e-05
V3_full_binary,1,0.9182759585782255,0.0019465351674020244,0.9596687314839752,6562,584,15,7691,126,46.417946338653564,1.7895327402901333e-05
V0_classical,2,0.910159529806885,0.010770827926291202,0.9511850255857797,6504,642,83,7623,1500,5.109621286392212,0.00026360930312588435
V1_stat_term,2,0.910159529806885,0.010770827926291202,0.9511850255857797,6504,642,83,7623,1500,5.653045415878296,0.00028341504527717916
V2_boundary,2,0.9178561432969493,0.0018167661562418895,0.9595340694855912,6559,587,14,7692,130,43.202187061309814,1.780265365814283e-05
V3_full_binary,2,0.9178561432969493,0.0018167661562418895,0.9595340694855912,6559,587,14,7692,130,42.71688532829285,1.6668335369838525e-05
V0_classical,3,0.8985446403582423,0.008305216714248637,0.94687584163749,6421,725,64,7642,1500,5.112608909606934,0.00023763466484938995
V1_stat_term,3,0.8985446403582423,0.008305216714248637,0.94687584163749,6421,725,64,7642,1500,5.5807671546936035,0.00022096037383096225
V2_boundary,3,0.9317100475790652,0.0028549182455229693,0.9656611904120657,6658,488,22,7684,143,63.906617879867554,1.891766023417544e-05
V3_full_binary,3,0.9317100475790652,0.0028549182455229693,0.9656611904120657,6658,488,22,7684,143,64.4904534816742,1.9296718805972182e-05
V0_classical,4,0.9019168882048412,0.010382868267358857,0.9474144896310261,6446,701,80,7625,1500,5.647916078567505,0.00025018379433341915
V1_stat_term,4,0.9019168882048412,0.010382868267358857,0.9474144896310261,6446,701,80,7625,1500,6.514821529388428,0.0002783783645023723
V2_boundary,4,0.9245837414299706,0.002336145360155743,0.9624966334500404,6608,539,18,7687,133,62.995816230773926,1.7782651668541392e-05
V3_full_binary,4,0.9245837414299706,0.002336145360155743,0.9624966334500404,6608,539,18,7687,133,53.76590967178345,1.6721261982772666e-05
V0_classical,5,0.9082132363229327,0.012589227774172615,0.9492997576084029,6491,656,97,7608,1500,5.229979991912842,0.00023281163293461962
V1_stat_term,5,0.9082132363229327,0.012589227774172615,0.9492997576084029,6491,656,97,7608,1500,5.586049795150757,0.00022235035157865056
V2_boundary,5,0.9166083671470547,0.0025957170668397143,0.9585241044977107,6551,596,20,7685,118,43.29657530784607,1.4702762646910125e-05
V3_full_binary,5,0.9166083671470547,0.0025957170668397143,0.9585241044977107,6551,596,20,7685,118,43.25242567062378,1.407066124839793e-05
V0_classical,6,0.8935217573807192,0.008565866320571058,0.9443172636681928,6386,761,66,7639,1500,4.933311939239502,0.00021439296294504376
V1_stat_term,6,0.8935217573807192,0.008565866320571058,0.9443172636681928,6386,761,66,7639,1500,5.404358863830566,0.00026263426231817833
V2_boundary,6,0.9231845529592836,0.0022063595068137574,0.9618906544573121,6598,549,17,7688,134,49.712260723114014,1.660325666530865e-05
V3_full_binary,6,0.9231845529592836,0.0022063595068137574,0.9618906544573121,6598,549,17,7688,134,50.1121666431427,1.6832107679560727e-05
V0_classical,7,0.9150573747551077,0.012329656067488644,0.9527304558615581,6539,607,95,7610,1500,5.134871482849121,0.00023350997546186158
V1_stat_term,7,0.9150573747551077,0.012329656067488644,0.9527304558615581,6539,607,95,7610,1500,5.545055866241455,0.00021505039570331733
V2_boundary,7,0.9192555275678701,0.0022063595068137574,0.9600026934213184,6569,577,17,7688,125,34.91413140296936,1.5811593947880324e-05
V3_full_binary,7,0.9192555275678701,0.0022063595068137574,0.9600026934213184,6569,577,17,7688,125,34.59281396865845,1.4874134213986537e-05
V0_classical,8,0.9061013154212146,0.009863724853990915,0.9497003568783247,6475,671,76,7629,1500,5.161627531051636,0.00020965503350740074
V1_stat_term,8,0.9061013154212146,0.009863724853990915,0.9497003568783247,6475,671,76,7629,1500,5.529035568237305,0.0002101057828472051
V2_boundary,8,0.9263923873495662,0.0014276443867618429,0.9638408188000808,6620,526,11,7694,124,59.861714601516724,1.5133679912480576e-05
V3_full_binary,8,0.9263923873495662,0.0014276443867618429,0.9638408188000808,6620,526,11,7694,124,59.790446519851685,1.5065466287633592e-05
V0_classical,9,0.8977050097956899,0.009863724853990915,0.9456602249006801,6415,731,76,7629,1500,5.219871282577515,0.00021600241645338816
V1_stat_term,9,0.8977050097956899,0.009863724853990915,0.9456602249006801,6415,731,76,7629,1500,5.607170581817627,0.00020559302372335546
V2_boundary,9,0.9286314021830394,0.0018170019467878002,0.9647161807285705,6636,510,14,7691,155,64.94842481613159,1.9094179988381005e-05
V3_full_binary,9,0.9286314021830394,0.0018170019467878002,0.9647161807285705,6636,510,14,7691,155,63.90509629249573,1.8764799206788736e-05
