fold,DR,FPR,Acc,TP,FN,FP,TN,n_detectors,train_time_s,infer_time_per_sample_s
0,0.7276798208788133,0.0012976901116013497,0.8683005655803933,5200,1946,10,7696,1500,5.758285760879517,0.00010895536429407524
1,0.7104673943464875,0.0011679211004412147,0.8600861836789658,5077,2069,9,7697,1500,5.701590538024902,0.000104815594565024
2,0.5799048418695774,0.0016869971450817545,0.7969970374360356,4144,3002,13,7693,1500,6.666386604309082,0.00010202761258906891
3,0.7885530366638679,0.0005190760446405398,0.8979935362240775,5635,1511,4,7702,1500,8.795242071151733,0.00011477379217129848
4,0.747586399888065,0.0011680726800778714,0.8779288984648532,5343,1804,9,7696,1500,7.104479074478149,0.00012193851768890224
5,0.8125087449279418,0.0010382868267358857,0.9092378130891462,5807,1340,8,7697,1500,7.258463621139526,0.00010904973965271637
6,0.7548621799356373,0.0007787151200519143,0.8816321034204148,5395,1752,6,7699,1500,5.9677746295928955,0.0001180585811891358
7,0.51749230338651,0.0010382868267358857,0.7672883980876709,3698,3448,8,7697,1500,7.297070503234863,0.00010294617566907617
8,0.593338930870417,0.0011680726800778714,0.8037169214194331,4240,2906,9,7696,1500,6.70793342590332,0.00010196034510636055
9,0.8012874335292471,0.0006489292667099286,0.9040468655309407,5726,1420,5,7700,1500,7.021404027938843,0.00011288762518022448
