fold,cls,precision,recall,f1,tnr,support
0,DoS,0.9947653767059264,0.9966285821314853,0.9956961077844312,0.9970566593083149,5339
0,Probe,0.9844082211197732,0.9872068230277186,0.985805535841022,0.9983637039791744,1407
0,R2L,0.8790123456790123,0.9175257731958762,0.8978562421185372,0.996612278761062,388
0,U2R,0.4,0.16666666666666666,0.23529411764705882,0.9997978436657682,12
0,normal,0.9919291851080447,0.9888398650402284,0.9903821159344943,0.9913238175202911,7706
1,DoS,0.9962420142803458,0.9932559010865493,0.9947467166979361,0.9978978347698129,5338
1,Probe,0.9865913902611151,0.9928977272727273,0.9897345132743364,0.9985867301398393,1408
1,R2L,0.916010498687664,0.8994845360824743,0.9076723016905073,0.9977876106194691,388
1,U2R,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.9998652291105121,12
1,normal,0.9889967637540453,0.9914352452634311,0.9902145032726329,0.9881052336971733,7706
2,DoS,0.9958786062195579,0.9958786062195579,0.9958786062195579,0.9976876182467942,5338
2,Probe,0.9823446327683616,0.9879261363636364,0.9851274787535411,0.9981404343945255,1408
2,R2L,0.907928388746803,0.9149484536082474,0.9114249037227213,0.9975110619469026,388
2,U2R,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.9995283018867924,12
2,normal,0.9922027290448343,0.9907864002076304,0.9914940588273489,0.9916036943744753,7706
3,DoS,0.9941947565543071,0.9945672536530535,0.9943809702191422,0.99674164389321,5338
3,Probe,0.9885958660014256,0.9850852272727273,0.9868374244041267,0.9988098780124963,1408
3,R2L,0.8788659793814433,0.8788659793814433,0.8788659793814433,0.9967505530973452,388
3,U2R,0.375,0.25,0.3,0.9996630727762803,12
3,normal,0.9885906910410994,0.9894887100960291,0.98903949672482,0.987685418415897,7706
4,DoS,0.9953271028037384,0.9973777861022664,0.9963513892786978,0.9973720172395669,5339
4,Probe,0.9900568181818182,0.9900568181818182,0.9900568181818182,0.9989586432609342,1408
4,R2L,0.8854961832061069,0.8969072164948454,0.8911651728553137,0.9968888274336283,388
4,U2R,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.9998652291105121,12
4,normal,0.9911619443722381,0.9897469175859831,0.9904539255795831,0.9904855183993284,7705
5,DoS,0.9947467166979362,0.9930698632702754,0.9939075827162808,0.9970566593083149,5339
5,Probe,0.9843860894251242,0.9850852272727273,0.9847355342563011,0.9983635822671824,1408
5,R2L,0.86,0.8865979381443299,0.8730964467005077,0.9961283185840708,388
5,U2R,0.5,0.25,0.3333333333333333,0.9997978436657682,12
5,normal,0.9872842870118075,0.9875405580791694,0.9874124059174669,0.9862879529872673,7705
6,DoS,0.9964332645015956,0.9941936692264469,0.9953122070129382,0.9980027331020709,5339
6,Probe,0.9844302901627743,0.9879261363636364,0.9861751152073733,0.9983635822671824,1408
6,R2L,0.8808290155440415,0.8762886597938144,0.8785529715762274,0.9968196902654868,388
6,U2R,0.6,0.25,0.35294117647058826,0.9998652291105121,12
6,normal,0.9879549281181195,0.9900064892926671,0.9889796447556074,0.9869875472226108,7705
7,DoS,0.9942088548477489,0.9968158831241806,0.9955106621773289,0.9967409587888982,5339
7,Probe,0.9809725158562368,0.9886363636363636,0.9847895295366111,0.9979915197500558,1408
7,R2L,0.9093333333333333,0.8788659793814433,0.8938401048492791,0.9976491737537164,388
7,U2R,0.4444444444444444,0.36363636363636365,0.39999999999999997,0.9996630727762803,11
7,normal,0.9906432748538012,0.9893575600259572,0.9900000000000001,0.9899244332493703,7705
8,DoS,0.9960732984293194,0.9977523880876569,0.996912136240292,0.9977922624053827,5339
8,Probe,0.9886765746638358,0.9928926794598436,0.9907801418439717,0.9988098780124963,1407
8,R2L,0.8886138613861386,0.9252577319587629,0.9065656565656566,0.9968886123210952,388
8,U2R,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.9997304400566076,12
8,normal,0.9940065146579805,0.9901362751460091,0.9920676202860859,0.9935628323537643,7705
9,DoS,0.994943820224719,0.9951301741899232,0.9950369884820676,0.997161480235492,5339
9,Probe,0.9893238434163701,0.9879175550817342,0.9886201991465149,0.9988842606367153,1407
9,R2L,0.8648648648648649,0.9072164948453608,0.8855345911949687,0.9961971928368941,388
9,U2R,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.9999326100141519,12
9,normal,0.9905108540231379,0.9889682024659312,0.989738927133394,0.9897844948222781,7705
