model,fold,DR,FPR,Acc,TP,FN,FP,TN,train_time_s,infer_time_per_sample_s,n_trees,n_nodes
RandomForest,0,0.9911838790931989,0.008045678691928368,0.9915836251009965,7083,63,62,7644,4.069160223007202,2.794660007796325e-06,100,266950
RandomForest,1,0.9882451721242653,0.007396833636127692,0.990506329113924,7062,84,57,7649,4.11998176574707,2.8083692366242763e-06,100,266418
RandomForest,2,0.9920235096557515,0.006877757591487153,0.9925935900888769,7089,57,53,7653,4.233483076095581,2.713656765798851e-06,100,269294
RandomForest,3,0.9889448642597257,0.007786140669608098,0.9906409911123081,7067,79,60,7646,4.148177146911621,3.0063985654551996e-06,100,267370
RandomForest,4,0.9904855183993284,0.007527579493835172,0.9915162941018044,7079,68,58,7647,4.146422863006592,2.741765500784498e-06,100,267930
RandomForest,5,0.9862879529872673,0.008565866320571058,0.9889577161325074,7049,98,66,7639,4.231840133666992,2.850171147476718e-06,100,264548
RandomForest,6,0.9869875472226108,0.008046722907203116,0.9895636951252357,7054,93,62,7643,4.103781461715698,2.7362111762242275e-06,100,265002
RandomForest,7,0.9900643716764623,0.00791693705386113,0.9911117096491818,7075,71,61,7644,4.124994277954102,2.7048010656259077e-06,100,265384
RandomForest,8,0.9913238175202911,0.007657365347177158,0.99185240051175,7084,62,59,7646,4.1458985805511475,2.7491583839248513e-06,100,266736
RandomForest,9,0.9883851105513574,0.007268007787151201,0.9906403609184566,7063,83,56,7649,4.172950267791748,2.669755091740061e-06,100,268480
HistGradientBoosting,0,0.9847467114469634,0.01154944199325201,0.9866684621599785,7037,109,89,7617,2.281097412109375,1.553958745905565e-06,100,6100
HistGradientBoosting,1,0.9830674503218584,0.010511289903970931,0.9863991381632103,7025,121,81,7625,0.633540153503418,1.8782767201574415e-06,100,6100
HistGradientBoosting,2,0.9869857262804366,0.010770827926291202,0.988149744142203,7053,93,83,7623,0.649456262588501,1.6036426606860215e-06,100,6100
HistGradientBoosting,3,0.9811083123425692,0.010251751881650662,0.985591166172906,7011,135,79,7627,0.6283102035522461,1.6330837914476875e-06,100,6100
HistGradientBoosting,4,0.9857282775989926,0.010253082414016871,0.9878130891462429,7045,102,79,7626,0.6030991077423096,1.6158910700486992e-06,100,6100
HistGradientBoosting,5,0.9806911991045194,0.010382868267358857,0.9853218421761379,7009,138,80,7625,0.6177127361297607,1.5538945340609378e-06,100,6100
HistGradientBoosting,6,0.9805512802574506,0.009863724853990915,0.985523835173714,7008,139,76,7629,0.6366598606109619,1.7465782268266295e-06,100,6100
HistGradientBoosting,7,0.9844668345927792,0.010902011680726801,0.986869571072655,7035,111,84,7621,0.670250415802002,1.6750626977899084e-06,100,6100
HistGradientBoosting,8,0.9847467114469634,0.009214795587280986,0.9878796040670662,7037,109,71,7634,0.6584947109222412,1.8351375514847222e-06,100,6100
HistGradientBoosting,9,0.9848866498740554,0.009344581440622972,0.9878796040670662,7038,108,72,7633,0.6902320384979248,1.6642262193781143e-06,100,6100
