model,metric,mean,sd
HistGradientBoosting,DR,0.9836979153266586,0.002240573575556666
HistGradientBoosting,FPR,0.01030443759491622,0.000705681257130561
HistGradientBoosting,Acc,0.986809605634118,0.0010870952659957553
HistGradientBoosting,train_time_s,0.8068852901458741,0.518610480184264
HistGradientBoosting,infer_time_per_sample_s,1.6759752217785727e-06,1.1148278078314783e-07
HistGradientBoosting,n_nodes,6100.0,0.0
RandomForest,DR,0.9893931743490259,0.0019281804024408342
RandomForest,FPR,0.007708888949895014,0.0004748430176382381
RandomForest,Acc,0.9908966711855042,0.0010808863724537216
RandomForest,train_time_s,4.149668979644775,0.05209328620849229
RandomForest,infer_time_per_sample_s,2.7774946941450918e-06,9.642386275185692e-08
RandomForest,n_nodes,266811.2,1532.0598189655939
