fold,Acc,n_detectors,train_time_s,infer_time_per_sample_s
0,0.9889577161325074,560,92.30318880081177,0.002569473451146404
1,0.9893617021276596,524,90.71776366233826,0.0014861295430640342
2,0.9899003501211958,526,83.77958106994629,0.0023469208804160605
3,0.9874091031510908,534,91.18891978263855,0.0016994009337719322
4,0.9896310261244277,508,79.32370901107788,0.002101918275613782
5,0.9860624831672502,518,77.46045684814453,0.0018988867156626945
6,0.9877457581470509,533,86.39047002792358,0.002476893070409987
7,0.9886202949296343,512,87.5452721118927,0.0023766527367909663
8,0.9911117096491818,518,94.9921624660492,0.0020539073155517247
9,0.9884856238637129,527,92.53732681274414,0.0023958259989906904
