cls,precision,recall,f1,support
Analysis,0.02817562808170932,0.3,0.051513200257566005,400
Backdoor,0.016680567139282735,0.05730659025787966,0.025839793281653745,349
DoS,0.24532019704433497,0.10150835711373828,0.14359861591695502,2453
Exploits,0.7631447170756134,0.4563557418775266,0.5711608732315188,6679
Fuzzers,0.5932499272621472,0.5606268902941985,0.5764772405993781,3637
Generic,0.9918905220476432,0.9785,0.9851497608859804,8000
Normal,0.891653290529695,0.8927678571428571,0.8922102257517622,11200
Reconnaissance,0.6463481603514553,0.5610104861773118,0.60066343454963,2098
Shellcode,0.32727272727272727,0.31718061674008813,0.3221476510067114,227
Worms,0.05555555555555555,0.038461538461538464,0.04545454545454546,26
